catalog_id, ISBN
AHIS-102, 9780495573562
AHIS-103, 9780131830639
AHIS-207, 9780520255692
AHIS-223, 9780131929708
AHIS-282, 9780520052567
AHIS-282, 9780131895652
AHIS-292, 9780870703812
AMST-203, 9780717803682
AMST-203, 9780743460606
AMST-203, 9781478622048
AMST-203, 9780989822404
AMST-285, 9780143037200
AMST-285, 9780674045958
AMST-285, 9781451662467
AMST-285, 9781595587084
AMST-285, 9780674284098
AMST-301, 9780451529831
AMST-301, 9780486264738
AMST-301, 9780486270609
AMST-301, 9780486284958
AMST-301, 9780395927205
AMST-301, 9780199536559
AMST-301, 9780199538034
AMST-301, 9780486780436
AMST-336, 9780801482922
AMST-336, 9780809016280
AMST-336, 9780199283279
AMST-336, 9781595583420
AMST-336, 9781844678761
AMST-336, 9781781681442
AMST-341, 9781400032716
AMST-341, 9781400033614
AMST-341, 9781416549017
AMST-341, 9780307474841
AMST-341, 9780307740915
AMST-341, 9780743236720
AMST-341, 9780762779253
AMST-409, 9780684863115
AMST-409, 9780814719831
AMST-409, 9780820450070
AMST-409, 9780763662622
AMST-421, 9780801850967
AMST-421, 9780807847985
AMST-421, 9780465089871
AMST-421, 9780520248878
AMST-421, 9780520251670
AMST-428, 9780674076273
AMST-428, 9780801484377
AMST-428, 9781400079360
AMST-428, 9780691150352
AMST-428, 9780143123989
AMST-435, 9780761991069
AMST-435, 9781405173810
AMST-435, 9780759122703
AMST-439, 9780812218190
AMST-439, 9780195168921
AMST-439, 9780195168938
AMST-439, 9780521715355
AMST-439, 9780465010202
AMST-439, 9780807006238
AMST-439, 9780691048703
AMST-458, 9780307388445
AMST-821, 9780801850967
AMST-821, 9780807847985
AMST-821, 9780465089871
AMST-821, 9780520248878
AMST-821, 9780520251670
AMST-828, 9780674076273
AMST-828, 9780801484377
AMST-828, 9781400079360
AMST-828, 9780691150352
AMST-828, 9780143123989
AMST-835, 9780761991069
AMST-835, 9781405173810
AMST-835, 9780759122703
AMST-839, 9780140186406
AMST-839, 9780812218190
AMST-839, 9780195168921
AMST-839, 9780195168938
AMST-839, 9780521715355
AMST-839, 9780465010202
AMST-839, 9780807006238
AMST-839, 9780691048703
AMST-858, 9780307388445
ANTH-101, 9780671640996
ANTH-101, 9780143037477
ANTH-228, 9780807871652
ANTH-228, 9789745241381
ANTH-245, 9781577665212
ANTH-245, 9780195310276
ANTH-245, 9780691126579
ANTH-245, 9780813546681
ANTH-245, 9781577667735
ANTH-250, 9780226745640
ANTH-250, 9780745656106
ANTH-250, 9781621060031
ANTH-250, 9781782383758
ANTH-302, 9781405187756
ANTH-302, 9780078034886
ANTH-308, 9780933452954
ANTH-308, 9780631228783
ANTH-308, 9780375725173
ANTH-308, 9781405106726
ANTH-308, 9780295987491
ARAB-101, 9781589016347
ARAB-101, 9781589017382
ARAB-101, 9781589016323
ARAB-101, 9781589017368
ARAB-301, 9781589019621
BIOL-182, 9780321558237
BIOL-182, 9780205075072
BIOL-215, 9781429219617
BIOL-224, 9781449635961
BIOL-224, 9781449644703
BIOL-317, 9781429229364
BIOL-333, 9780073532493
CHEM-111, 9780840065322
CHEM-111, 9781930882232
CHEM-211, 9780199270293
CHEM-309, 9780486632773
CHEM-309, 9780618123414
CHEM-309, 9781930882232
CHEM-311, 9781464159244
CHEM-311, 9781429218153
CHEM-311, 9781429231237
