course,ISBN,title,author
AHIS-102,9780495573562,"Gardner's Art Through the Ages: The Western Perspective",Fred S. Kleiner
AHIS-103,9780131830639,A History of Far Eastern Art,Sherman E. Lee
AHIS-207,9780520255692,The Arts of China,Michael Sullivan
AHIS-223,9780131929708,"Snyder's Medieval Art","Henry Luttikhuizen, Dorothy Verkerk"
AHIS-282,978-0520052567,Theories of Modern Art: A Source Book by Artists and Critics,Herschel B. Chipp
AHIS-282,9780131895652,Modern Art,"Sam Hunter, Daniel Wheeler, John M. Jacobus"
AHIS-292,9780870703812,History of Photography: From 1839 to the Present,Beaumont Newhall
AMST-203,9780717803682,"The Rebel Girl: An Autobiography - My First Life,1906-1926",Elizabeth G. Flynn
AMST-203,9780743460606,Darkwater: The Givens Collection,W. E. B. Du Bois
AMST-203,9781478622048,Violence in the West: The Johnson County Range War and the Ludlow Massacre,Marilynn Johnson
AMST-203,9780989822404,A Shoeleather History of the Wobblies,Steve Thornton
AMST-285,9780143037200,The Unknown American Revolution: The Unruly Birth of Democracy and the Struggle to Create America,Gary B. Nash
AMST-285,9780674045958,The Civil War and the Limits of Destruction,Mark E. Neely Jr.
AMST-285,9781451662467,The King Years: Historic Moments in the Civil Rights Movement,Taylor Branch
AMST-285,9781595587084,"1877: America's Year of Living Violently",Michael Bellesiles
AMST-285,9780674284098,"Lincoln's Hundred Days: The Emancipation Proclamation and the War for the Union",Louis P. Masur
AMST-301,9780451529831,"Ragged Dick: Or,Street Life in New York with the Boot Blacks","Horatio Alger Jr., Michael Meyer"
AMST-301,9780486264738,Bartleby and Benito Cereno,Herman Melville
AMST-301,9780486270609,Young Goodman Brown and Other Short Stories,Nathaniel Hawthorne
AMST-301,9780486284958,"Walden; or,Life in the Woods",Henry David Thoreau
AMST-301,9780395927205,Interpreter of Maladies,Jhumpa Lahiri
AMST-301,9780199536559,Adventures of Huckleberry Finn,Mark Twain
AMST-301,9780199538034,"Uncle Tom's Cabin",Harriet Beecher Stowe
AMST-301,9780486780436,American Indian Stories and Old Indian Legends,Zitkala-Ša
AMST-336,9780801482922,"Race Against Empire: Black Americans and Anticolonialism,1937 1957",Penny M. Von Eschen
AMST-336,9780809016280,"Barbarian Virtues: The United States Encounters Foreign Peoples at Home and Abroad,1876-1917",Matthew Frye Jacobson
AMST-336,9780199283279,A Brief History of Neoliberalism,David Harvey
AMST-336,9781595583420,"The Darker Nations: A People's History of the Third World",Vijay Prashad
AMST-336,9781844678761,The Communist Manifesto: A Modern Edition,Friedrich Engels
AMST-336,9781781681442,The Age Of Globalization: Anarchists and the Anti-Colonial Imagination,Benedict Anderson
AMST-341,9781400032716,The Curious Incident of the Dog in the Night-Time,Mark Haddon
AMST-341,9781400033614,72 Hour Hold,Bebe Moore Campbell
AMST-341,9781416549017,Born On A Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet
AMST-341,9780307474841,Precious,Sapphire
AMST-341,9780307740915,Home,Toni Morrison
AMST-341,9780743236720,"Far From the Tree: Parents,Children and the Search for Identity",Andrew Solomon
AMST-341,9780762779253,I Am Intelligent: From Heartbreak to Healing,"Peyton Goddard, Dianne Goddard, Robert Friedman"
AMST-409,9780684863115,Visions of Technology: A Century of Vital Debate About Machines Systems and the Human World,Richard Rhodes
AMST-409,9780814719831,The Body Electric: How Strange Machines Built the Modern American,Carolyn Thomas de la Pena
AMST-409,9780820450070,Culture and Technology: A Primer,"Jennifer Daryl Slack, J. Macgregor Wise"
AMST-409,9780763662622,Feed,M.T. Anderson
AMST-421,9780801850967,"Silent Travelers: Germs,Genes,and the Immigrant Menace",Alan M. Kraut
AMST-421,9780807847985,Hazards of the Job: From Industrial Disease to Environmental Health Science,Christopher C. Sellers
AMST-421,9780465089871,The Health of the Country: How American Settlers Understood Themselves and Their Land,Conevery Bolton Valencius
AMST-421,9780520248878,"Inescapable Ecologies: A History of Environment,Disease,and Knowledge",Linda Nash
AMST-421,9780520251670,Orange Empire: California and the Fruits of Eden,Douglas Cazaux Sackman
AMST-428,9780674076273,Black Jacks: African American Seamen in the Age of Sail,W. Jeffrey Bolster
AMST-428,9780801484377,"Disowning Slavery: Gradual Emancipation and 'Race' in New England,1780 1860",Joanne Pope Melish
AMST-428,9781400079360,From Midnight to Dawn: The Last Tracks of the Underground Railroad,Jacqueline L. Tobin
AMST-428,9780691150352,Ten Hills Farm: The Forgotten History of Slavery in the North,C.S. Manegold
AMST-428,9780143123989,The Amistad Rebellion: An Atlantic Odyssey of Slavery and Freedom,Marcus Rediker
AMST-435,9780761991069,Exhibit Labels: An Interpretive Approach,Beverly Serrell
AMST-435,9781405173810,Museum Studies: An Anthology of Contexts,Bettina Messias Carbonell (Editor)
AMST-435,9780759122703,Manual of Museum Exhibitions,"Barry Lord, Maria Piacente (Editors)"
AMST-439,9780812218190,The Organization Man: The Book That Defined a Generation,William H. Whyte
AMST-439,9780195168921,"The American People in the Great Depression,Part 1",David M. Kennedy
AMST-439,9780195168938,"The American People in World War II: Freedom from Fear,Part Two",David M. Kennedy
AMST-439,9780521715355,Making a New Deal,Lizabeth Cohen
AMST-439,9780465010202,Homeward Bound: American Families in the Cold War Era,Elaine Tyler May
AMST-439,9780807006238,Notes of a Native Son,James Baldwin
AMST-439,9780691048703,Many Are the Crimes: McCarthyism in America,Ellen Schrecker
AMST-458,9780307388445,The Paranoid Style in American Politics,Richard Hofstadter
AMST-821,9780801850967,"Silent Travelers: Germs, Genes, and the Immigrant Menace",Alan M. Kraut
AMST-821,9780807847985,Hazards of the Job: From Industrial Disease to Environmental Health Science,Christopher C. Sellers
AMST-821,9780465089871,The Health of the Country: How American Settlers Understood Themselves and Their Land,Conevery Bolton Valencius
AMST-821,9780520248878,"Inescapable Ecologies: A History of Environment, Disease, and Knowledge",Linda Nash
AMST-821,9780520251670,Orange Empire: California and the Fruits of Eden,Douglas Cazaux Sackman
AMST-828,9780674076273,Black Jacks: African American Seamen in the Age of Sail,W. Jeffrey Bolster
AMST-828,9780801484377,"Disowning Slavery: Gradual Emancipation and 'Race' in New England,1780 1860",Joanne Pope Melish
AMST-828,9781400079360,From Midnight to Dawn: The Last Tracks of the Underground Railroad,Jacqueline L. Tobin
AMST-828,9780691150352,Ten Hills Farm: The Forgotten History of Slavery in the North,C.S. Manegold
AMST-828,9780143123989,The Amistad Rebellion: An Atlantic Odyssey of Slavery and Freedom,Marcus Rediker
AMST-835,9780761991069,Exhibit Labels: An Interpretive Approach,Beverly Serrell
AMST-835,9781405173810,Museum Studies: An Anthology of Contexts,Bettina Messias Carbonell (Editor)
AMST-835,9780759122703,Manual of Museum Exhibitions,"Barry Lord, Maria Piacente (Editors)"
AMST-839,9780140186406,The Grapes of Wrath,John Steinbeck
AMST-839,9780812218190,The Organization Man: The Book That Defined a Generation,William H. Whyte
AMST-839,9780195168921,"The American People in the Great Depression,Part 1",David M. Kennedy
AMST-839,9780195168938,"The American People in World War II: Freedom from Fear,Part Two",David M. Kennedy
AMST-839,9780521715355,Making a New Deal,Lizabeth Cohen
AMST-839,9780465010202,Homeward Bound: American Families in the Cold War Era,Elaine Tyler May
AMST-839,9780807006238,Notes of a Native Son,James Baldwin
AMST-839,9780691048703,Many Are the Crimes: McCarthyism in America,Ellen Schrecker
AMST-858,9780307388445,The Paranoid Style in American Politics,Richard Hofstadter
ANTH-101,9780671640996,The Forest People,Colin M. Turnbull
ANTH-101,9780143037477,My Freshman Year: What a Professor Learned by Becoming a Student,Rebekah Nathan
ANTH-228,9780807871652,"Isma'ili Modern: Globalization and Identity in a Muslim Community",Jonah Steinberg
ANTH-228,9789745241381,Himalayan Pilgrimage: A Study of Tibetan Religion by a Traveller Through Western Nepal,David Snellgrove
ANTH-245,9781577665212,Ethnomedicine,Pamela I. Erickson
ANTH-245,9780195310276,The Practice of International Health: A Case-Based Orientation,Daniel Perlman (Editor)
ANTH-245,9780691126579,When Experiments Travel: Clinical Trials and the Global Search for Human Subjects,Adriana Petryna
ANTH-245,9780813546681,Your Pocket Is What Cures You: The Politics of Health in Senegal,Ellen E. Foley
ANTH-245,9781577667735,The Obesity Epidemic in North America: Connecting Biology and Culture,Anna Bellisari
ANTH-250,9780226745640,Republic of Drivers: A Cultural History of Automobility in America,Cotten Seiler
ANTH-250,9780745656106,Sustainability,Leslie Paul Thiele
ANTH-250,9781621060031,Bikenomics: How Bicycling Can Save the Economy,Elly Blue
ANTH-250,9781782383758,"Vehicles: Cars,Canoes,and Other Metaphors of Moral Ambivalence",David Lipset
ANTH-302,9781405187756,Foundations of Anthropological Theory: From Classical Antiquity to Early Modern Europe,Robert Launay (Editor)
